OBJECTID,date_,time_value_ms,time_uncertainty,latitude_value,longitude_value,depth_value,magnitude_value_M,quality_associatedPhaseCount,quality_usedPhaseCount,quality_associatedStationCount,quality_usedStationCount,quality_standardError,quality_azimuthalGap,quality_maximumDistance,quality_minimumDistance,quality_medianDistance,Tiempo
27,7/3/2016 4:33,568.289.000.000.000.000.000,0.83800323,-2.985.036.850.000.000,-80.471.008.299.999.800,17.288.759.230.000.000,3.516.336.580.000.000,29.000.000.000.000.000,29.000.000.000.000.000,26.000.000.000.000.000,26.000.000.000.000.000,1.228.160.420.000.000,232.809.215.499.999.000,3.784.825.560.000.000,0.30152905,2.985.216.860.000.000,7/3/2016 4:33
28,10/3/2016 9:16,26.350.000.000.000.000.000,0.39570153,0.23132454,-79.849.136.349.999.800,12.756.677.630.000.000,3.545.094.890.000.000,56.000.000.000.000.000,56.000.000.000.000.000,54.000.000.000.000.000,54.000.000.000.000.000,0.7072213,171.942.806.200.000.000,2.220.525.270.000.000,0.31060547,1.686.241.390.000.000,10/3/2016 9:16
29,10/3/2016 16:31,295.783.000.000.000.000.000,0.26082228,-2.226.648.090.000.000,-78.923.416.140.000.000,2.094.882.010.000.000,3.582.821.730.000.000,42.000.000.000.000.000,31.000.000.000.000.000,37.000.000.000.000.000,26.000.000.000.000.000,0.57689244,89.928.971.290.000.000,1.636.362.080.000.000,0.4097994,0.86408526,10/3/2016 16:31
30,12/3/2016 11:41,637.536.000.000.000.000.000,0.39533271,-1.956.943.150.000.000,-77.383.636.469.999.900,6.389.999.870.000.000,3.763.269.740.000.000,81.000.000.000.000.000,65.000.000.000.000.000,70.000.000.000.000.000,54.000.000.000.000.000,0.80221051,226.576.370.200.000.000,2.534.121.270.000.000,0.77986646,1.625.825.050.000.000,12/3/2016 11:41
31,15/3/16 13:02,85.461.000.000.000.000.000,0.12349243,-0.18893655,-78.488.456.729.999.800,8.426.959.040.000.000,4.098.994.510.000.000,131.000.000.000.000.000,118.000.000.000.000.000,106.000.000.000.000.000,95.000.000.000.000.000,0.50227132,32.785.171.509.999.800,1.383.401.040.000.000,0.00737029,0.51816589,15/3/16 13:02
32,21/3/16 03:18,216.013.000.000.000.000.000,0.56791182,-4.633.290.770.000.000,-80.212.730.410.000.000,27.744.688.029.999.800,4.172.295.800.000.000,38.000.000.000.000.000,38.000.000.000.000.000,26.000.000.000.000.000,26.000.000.000.000.000,1.119.597.080.000.000,259.324.540.399.999.000,5.148.622.990.000.000,0.36727858,3.575.572.250.000.000,21/3/16 03:18
33,22/3/16 04:52,105.920.000.000.000.000.000,0.28821045,-3.488.411.190.000.000,-80.031.471.249.999.800,29.558.710.099.999.900,4.511.247.680.000.000,94.000.000.000.000.000,89.000.000.000.000.000,84.000.000.000.000.000,81.000.000.000.000.000,0.75890788,115.643.737.800.000.000,4.816.376.690.000.000,0.06886128,3.140.132.430.000.000,22/3/16 04:52
34,26/3/16 02:17,687.589.000.000.000.000.000,0.19050575,-2.591.259.720.000.000,-79.418.655.400.000.000,10.000.000.000.000.000,4.267.900.550.000.000,44.000.000.000.000.000,33.000.000.000.000.000,41.000.000.000.000.000,31.000.000.000.000.000,6.442.189.160.000.000,68.650.817.869.999.800,2.483.155.490.000.000,0.4225733,1.466.575.500.000.000,26/3/16 02:17
35,1/4/2016 17:18,949.047.000.000.000.000.000,0.62352115,-1.480.622.650.000.000,-80.613.639.829.999.800,10.000.000.000.000.000,4.239.676.980.000.000,40.000.000.000.000.000,30.000.000.000.000.000,37.000.000.000.000.000,28.000.000.000.000.000,0.89800973,235.389.694.200.000.000,2.449.942.590.000.000,1.288.029.550.000.000,2.247.279.410.000.000,1/4/2016 17:18
36,6/4/2016 9:05,253.305.000.000.000.000.000,0.245378,-1.470.888.260.000.000,-79.289.535.520.000.000,4.213.377.950.000.000,3.786.032.590.000.000,84.000.000.000.000.000,69.000.000.000.000.000,73.000.000.000.000.000,59.000.000.000.000.000,0.63863305,130.193.084.699.998.000,2.204.452.510.000.000,0.42068416,1.116.842.630.000.000,6/4/2016 9:05
37,8/4/2016 4:55,480.598.000.000.000.000.000,0.21911564,-1.118.158.580.000.000,-78.405.342.099.999.800,3.041.994.330.000.000,3.550.198.350.000.000,55.000.000.000.000.000,55.000.000.000.000.000,51.000.000.000.000.000,51.000.000.000.000.000,0.35690377,88.665.233.610.000.000,1.643.860.940.000.000,0.20071895,0.47853735,8/4/2016 4:55
